STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2021,,19.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2022,,18.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",AT,Austria,2023,,18.3,,p,provisional,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2006,,9.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2007,,10.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2008,,10.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2009,,10.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2010,,10.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2011,,9.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2012,,8.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2013,,7.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2014,,6.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2015,,6.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2016,,6.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2017,,5.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2018,,5.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2019,,4.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2020,,3.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2021,,1.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2022,,0.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BE,Belgium,2023,,0.7,,p,provisional,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2002,,18.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2006,,12.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2007,,12.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2008,,12.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2009,,13.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2010,,13.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2011,,13.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2012,,15.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2013,,14.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2014,,14.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2015,,15.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2016,,14.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2017,,14.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2018,,13.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2019,,14.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2020,,12.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2021,,11.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2022,,12.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",BG,Bulgaria,2023,,13.5,,p,provisional,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2006,,18.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2008,,18.4,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2009,,18.4,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2010,,17.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2011,,17.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2012,,17.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2013,,17.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2014,,17.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2015,,17.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2016,,17.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2017,,17.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2018,,18.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2019,,18.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2020,,18.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2021,,17.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2022,,17.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CH,Switzerland,2023,,17.2,,p,provisional,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2002,,22.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2006,,21.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2007,,22.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2008,,19.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2009,,17.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2010,,16.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2011,,16.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2012,,15.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2013,,14.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2014,,14.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2015,,13.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2016,,12.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2017,,11.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2018,,10.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2019,,10.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2020,,9.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2021,,11.0,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2022,,11.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CY,Cyprus,2023,,12.2,,p,provisional,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2002,,22.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2006,,23.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2007,,23.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2008,,26.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2009,,25.9,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2010,,21.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2011,,22.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2012,,22.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2013,,22.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2014,,22.5,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2015,,22.5,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2016,,21.5,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2017,,21.1,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2018,,20.1,,d,definition differs (see metadata),,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2019,,19.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2020,,16.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2021,,15.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2022,,18.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",CZ,Czechia,2023,,18,,dp,"definition differs (see metadata), provisional",,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2006,,22.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2007,,22.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2008,,22.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2009,,22.6,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2010,,22.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2011,,22.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2012,,22.7,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2013,,22.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2014,,22.3,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2015,,21.8,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2016,,21.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2017,,20.4,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2018,,20.1,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2019,,19.2,,,,,
dataflow,ESTAT:SDG_05_20(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",DE,Germany,2020,,18.3,,,,,
